taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution,query_taxon_id,query_taxon_name
1098280,Fomitopsis pinicola,species,Red-banded Polypore,Fungi,1345,41838,https://en.wikipedia.org/wiki/Fomitopsis_pinicola,https://inaturalist-open-data.s3.amazonaws.com/photos/4274437/medium.jpg,cc-by-nc,"(c) Kari Pihlaviita, some rights reserved (CC BY-NC), uploaded by Kari Pihlaviita",47169,Basidiomycota
54134,Trametes versicolor,species,turkey-tail,Fungi,1040,187221,https://en.wikipedia.org/wiki/Trametes_versicolor,https://inaturalist-open-data.s3.amazonaws.com/photos/160331738/medium.jpg,cc-by,"(c) Christine Young, some rights reserved (CC BY), uploaded by Christine Young",47169,Basidiomycota
48715,Amanita muscaria,species,Fly Agaric,Fungi,908,152681,http://en.wikipedia.org/wiki/Amanita_muscaria,https://inaturalist-open-data.s3.amazonaws.com/photos/111494893/medium.jpg,cc-by-nc,"(c) Federico Calledda, some rights reserved (CC BY-NC), uploaded by Federico Calledda",47169,Basidiomycota
48767,Hypholoma fasciculare,species,Sulphur Tuft,Fungi,834,62437,http://en.wikipedia.org/wiki/Hypholoma_fasciculare,https://inaturalist-open-data.s3.amazonaws.com/photos/256148291/medium.jpg,cc-by-nc,"(c) Nicolas Schwab, some rights reserved (CC BY-NC), uploaded by Nicolas Schwab",47169,Basidiomycota
47392,Coprinus comatus,species,Shaggy Mane,Fungi,775,83672,https://en.wikipedia.org/wiki/Coprinus_comatus,https://inaturalist-open-data.s3.amazonaws.com/photos/93399523/medium.jpeg,cc-by,"(c) Tom Norton, some rights reserved (CC BY), uploaded by Tom Norton",47169,Basidiomycota
63401,Macrolepiota procera,species,Parasol,Fungi,524,32500,http://en.wikipedia.org/wiki/Macrolepiota_procera,https://inaturalist-open-data.s3.amazonaws.com/photos/440636205/medium.jpeg,cc-by,"(c) Lucian Clanet, some rights reserved (CC BY), uploaded by Lucian Clanet",47169,Basidiomycota
63405,Calocera viscosa,species,Jelly-antler,Fungi,464,20065,http://en.wikipedia.org/wiki/Calocera_viscosa,https://inaturalist-open-data.s3.amazonaws.com/photos/18635/medium.jpg,cc-by-sa,"(c) Didier, some rights reserved (CC BY-SA)",47169,Basidiomycota
63255,Clitocybe nebularis,species,Cloudy Clitocybe,Fungi,464,21294,http://en.wikipedia.org/wiki/Clitocybe_nebularis,https://inaturalist-open-data.s3.amazonaws.com/photos/172190659/medium.jpg,cc-by-nc,"(c) Susana C. Gonçalves, some rights reserved (CC BY-NC), uploaded by Susana C. Gonçalves",47169,Basidiomycota
54573,Schizophyllum commune,species,splitgill mushroom,Fungi,444,94373,http://en.wikipedia.org/wiki/Schizophyllum_commune,https://inaturalist-open-data.s3.amazonaws.com/photos/9681138/medium.jpeg,cc-by,"(c) Grey Smith, some rights reserved (CC BY), uploaded by Grey Smith",47169,Basidiomycota
972793,Apioperdon pyriforme,species,Pear-shaped Puffball,Fungi,404,53354,https://en.wikipedia.org/wiki/Apioperdon,https://inaturalist-open-data.s3.amazonaws.com/photos/39899941/medium.jpg,cc-by-nc,"(c) Lauren Hallden, some rights reserved (CC BY-NC), uploaded by Lauren Hallden",47169,Basidiomycota
53713,Laetiporus sulphureus,species,chicken of the woods,Fungi,397,78310,http://en.wikipedia.org/wiki/Laetiporus_sulphureus,https://inaturalist-open-data.s3.amazonaws.com/photos/42106925/medium.jpg,cc-by-nc,"(c) Stephen John Davies, some rights reserved (CC BY-NC), uploaded by Stephen John Davies",47169,Basidiomycota
55950,Armillaria mellea,species,Honey Mushroom,Fungi,383,43187,http://en.wikipedia.org/wiki/Armillaria_mellea,https://inaturalist-open-data.s3.amazonaws.com/photos/10028/medium.jpg,cc-by-sa,"(c) Nathan Wilson, some rights reserved (CC BY-SA)",47169,Basidiomycota
67661,Amanita rubescens,species,blusher,Fungi,380,37251,http://en.wikipedia.org/wiki/Blusher,https://inaturalist-open-data.s3.amazonaws.com/photos/161000598/medium.jpg,cc-by-nc,"(c) Federico Calledda, some rights reserved (CC BY-NC), uploaded by Federico Calledda",47169,Basidiomycota
48443,Lycoperdon perlatum,species,common puffball,Fungi,364,55067,https://en.wikipedia.org/wiki/Lycoperdon_perlatum,https://inaturalist-open-data.s3.amazonaws.com/photos/237728653/medium.jpg,cc-by-nc,"(c) Stephan Pflume, some rights reserved (CC BY-NC), uploaded by Stephan Pflume",47169,Basidiomycota
55501,Stereum hirsutum,species,hairy curtain crust,Fungi,322,60974,http://en.wikipedia.org/wiki/Stereum_hirsutum,https://static.inaturalist.org/photos/110545420/medium.jpg,,"(c) Natalie Gavidia, all rights reserved, uploaded by Natalie Gavidia",47169,Basidiomycota
