scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Life,higher_taxon,root,synthetic,8057,1,1,Abelmoschus esculentus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Hibisceae|Abelmoschus|Abelmoschus esculentus
Asterales,higher_taxon,order,suffix,624,2,10,Achillea ageratifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Anthemideae|Matricariinae|Achillea|Achillea ageratifolia
Biota,higher_taxon,higher_taxon,fallback,1,2,2,Taraxacum alpinum,Biota|Plantae|Viridiplantae|Streptophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Asterales|Compositae|Cichorioideae|Cichorieae|Crepidinae|Taraxacum|Taraxacum alpinum
Boraginales,higher_taxon,order,suffix,82,2,7,Aegonychon purpurocaeruleum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Boraginales|Boraginaceae|Boraginoideae|Lithospermeae|Lithosperminae|Aegonychon|Aegonychon purpurocaeruleum
Caryophyllales,higher_taxon,order,suffix,405,2,10,Acantholimon androsaceum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Plumbaginaceae|Limonieae|Acantholimon|Acantholimon ulicinum
Dipsacales,higher_taxon,order,suffix,100,2,7,Adoxa moschatellina,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Viburnaceae|Adoxoideae|Adoxeae|Adoxa|Adoxa moschatellina
Eukaryota,higher_taxon,domain,name,7936,2,2,Abelmoschus esculentus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Hibisceae|Abelmoschus|Abelmoschus esculentus
Fungi,higher_taxon,kingdom,name,2152,2,3,Abortiporus biennis,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Polyporales|Podoscyphaceae|Abortiporus|Abortiporus biennis
Magnoliales,higher_taxon,order,suffix,13,2,7,Annona cherimola,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Magnoliales|Annonaceae|Annonoideae|Annoneae|Annoninae|Annona|Annona cherimola
Myrtales,higher_taxon,order,suffix,76,2,7,Calvoa orientalis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Myrtales|Melastomataceae|Melastomatoideae|Sonerileae|Calvoa|Calvoa orientalis
