Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.41109,Exact,0,Life,Life,Life,28595,Life,false,172,PaleoBioDB,,
BestMatch,9.41215,Exact,0,Asterales,Asterales Link,Asterales,ST,Asterales Link,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales,
BestMatch,9.41180,Exact,0,Biota,Biota D.Don ex Endl.,Biota,C6D9S|C82SH|C6D9S,Platycladus Spach,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Platycladus,
BestMatch,9.41215,Exact,0,Boraginales,Boraginales Juss. ex Bercht. & J.Presl,Boraginales,TW,Boraginales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Boraginales,
BestMatch,9.41215,Exact,0,Caryophyllales,Caryophyllales Juss. ex Bercht. & J.Presl,Caryophyllales,VW,Caryophyllales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales,
BestMatch,9.41215,Exact,0,Dipsacales,Dipsacales Juss. ex Bercht. & J.Presl,Dipsacales,35C,Dipsacales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales,
BestMatch,9.41215,Exact,0,Eukaryota,"Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978",Eukaryota,CS5HF,"Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978",false,1,Catalogue of Life,Eukaryota,
BestMatch,9.41215,Exact,0,Fungi,Fungi,Fungi,F,Fungi,false,1,Catalogue of Life,Eukaryota|Fungi,
BestMatch,9.41215,Exact,0,Magnoliales,Magnoliales Juss. ex Bercht. & J.Presl,Magnoliales,3HL,Magnoliales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Magnoliales,
BestMatch,9.41215,Exact,0,Myrtales,Myrtales Juss. ex Bercht. & J.Presl,Myrtales,3LY,Myrtales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Myrtales,
BestMatch,9.41215,Exact,0,Plantae,Plantae,Plantae,P,Plantae,false,1,Catalogue of Life,Eukaryota|Plantae,
BestMatch,9.41215,Exact,0,Ranunculales,Ranunculales Juss. ex Bercht. & J.Presl,Ranunculales,3XS,Ranunculales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales,
BestMatch,9.41215,Exact,0,Saxifragales,Saxifragales Bercht. & J.Presl,Saxifragales,424,Saxifragales Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales,
BestMatch,9.41215,Exact,0,Asteraceae,Asteraceae Dumort.,Asteraceae,622TP,Asteraceae Dumort.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae,
BestMatch,9.41215,Exact,0,Basidiomycota,Basidiomycota,Basidiomycota,BM,Basidiomycota,false,1,Catalogue of Life,Eukaryota|Fungi|Basidiomycota,
BestMatch,9.41215,Exact,0,Boraginaceae,Boraginaceae Juss.,Boraginaceae,622G7,Boraginaceae Juss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Boraginales|Boraginaceae,
BestMatch,9.41215,Exact,0,Cactaceae,Cactaceae Juss.,Cactaceae,7HS,Cactaceae Juss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Cactaceae,
BestMatch,9.41215,Exact,0,Magnoliaceae,Magnoliaceae Juss.,Magnoliaceae,Q3MV6,Magnoliaceae Juss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Magnoliales|Magnoliaceae,
BestMatch,9.41215,Exact,0,Myrtaceae,Myrtaceae Juss.,Myrtaceae,D48,Myrtaceae Juss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae,
