scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Life,higher_taxon,root,synthetic,8057,1,1,Abelmoschus esculentus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Hibisceae|Abelmoschus|Abelmoschus esculentus,BestMatch,9.41109,Exact,0,Life,Life,Life,28595,Life,false,172,PaleoBioDB,,
Asterales,higher_taxon,order,suffix,624,2,10,Achillea ageratifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Anthemideae|Matricariinae|Achillea|Achillea ageratifolia,BestMatch,9.41215,Exact,0,Asterales,Asterales Link,Asterales,ST,Asterales Link,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales,
Biota,higher_taxon,higher_taxon,fallback,1,2,2,Taraxacum alpinum,Biota|Plantae|Viridiplantae|Streptophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Asterales|Compositae|Cichorioideae|Cichorieae|Crepidinae|Taraxacum|Taraxacum alpinum,BestMatch,9.41180,Exact,0,Biota,Biota D.Don ex Endl.,Biota,C6D9S|C82SH|C6D9S,Platycladus Spach,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Platycladus,
Boraginales,higher_taxon,order,suffix,82,2,7,Aegonychon purpurocaeruleum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Boraginales|Boraginaceae|Boraginoideae|Lithospermeae|Lithosperminae|Aegonychon|Aegonychon purpurocaeruleum,BestMatch,9.41215,Exact,0,Boraginales,Boraginales Juss. ex Bercht. & J.Presl,Boraginales,TW,Boraginales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Boraginales,
Caryophyllales,higher_taxon,order,suffix,405,2,10,Acantholimon androsaceum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Plumbaginaceae|Limonieae|Acantholimon|Acantholimon ulicinum,BestMatch,9.41215,Exact,0,Caryophyllales,Caryophyllales Juss. ex Bercht. & J.Presl,Caryophyllales,VW,Caryophyllales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales,
Dipsacales,higher_taxon,order,suffix,100,2,7,Adoxa moschatellina,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Viburnaceae|Adoxoideae|Adoxeae|Adoxa|Adoxa moschatellina,BestMatch,9.41215,Exact,0,Dipsacales,Dipsacales Juss. ex Bercht. & J.Presl,Dipsacales,35C,Dipsacales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales,
Eukaryota,higher_taxon,domain,name,7936,2,2,Abelmoschus esculentus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Hibisceae|Abelmoschus|Abelmoschus esculentus,BestMatch,9.41215,Exact,0,Eukaryota,"Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978",Eukaryota,CS5HF,"Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978",false,1,Catalogue of Life,Eukaryota,
Fungi,higher_taxon,kingdom,name,2152,2,3,Abortiporus biennis,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Polyporales|Podoscyphaceae|Abortiporus|Abortiporus biennis,BestMatch,9.41215,Exact,0,Fungi,Fungi,Fungi,F,Fungi,false,1,Catalogue of Life,Eukaryota|Fungi,
Magnoliales,higher_taxon,order,suffix,13,2,7,Annona cherimola,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Magnoliales|Annonaceae|Annonoideae|Annoneae|Annoninae|Annona|Annona cherimola,BestMatch,9.41215,Exact,0,Magnoliales,Magnoliales Juss. ex Bercht. & J.Presl,Magnoliales,3HL,Magnoliales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Magnoliales,
Myrtales,higher_taxon,order,suffix,76,2,7,Calvoa orientalis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Myrtales|Melastomataceae|Melastomatoideae|Sonerileae|Calvoa|Calvoa orientalis,BestMatch,9.41215,Exact,0,Myrtales,Myrtales Juss. ex Bercht. & J.Presl,Myrtales,3LY,Myrtales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Myrtales,
Plantae,higher_taxon,kingdom,name,5895,2,3,Abelmoschus esculentus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Hibisceae|Abelmoschus|Abelmoschus esculentus,BestMatch,9.41215,Exact,0,Plantae,Plantae,Plantae,P,Plantae,false,1,Catalogue of Life,Eukaryota|Plantae,
