Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.41215,Exact,0,Nerine bowdenii,Nerine bowdenii W.Watson,Nerine bowdenii,4753L,Nerine bowdenii W.Watson,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Amaryllidaceae|Nerine|Nerine bowdenii,
BestMatch,9.41215,Exact,0,Nerine undulata,Nerine undulata (L.) Herb.,Nerine undulata,4754R,Nerine undulata (L.) Herb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Amaryllidaceae|Nerine|Nerine undulata,
BestMatch,9.41215,Exact,0,Nerium oleander,Nerium oleander L.,Nerium oleander,4768L,Nerium oleander L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Apocynoideae|Nerieae|Neriinae|Nerium|Nerium oleander,
BestMatch,9.41215,Exact,0,Neslia paniculata,Neslia paniculata (L.) Desv.,Neslia paniculata,477FM,Neslia paniculata (L.) Desv.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Brassicaceae|Brassicoideae|Camelineae|Neslia|Neslia paniculata,
BestMatch,9.41215,Exact,0,Nesocodon mauritianus,Nesocodon mauritianus (I.Richardson) Thulin,Nesocodon mauritianus,477KP,Nesocodon mauritianus (I.Richardson) Thulin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Campanulaceae|Campanuloideae|Wahlenbergieae|Nesocodon|Nesocodon mauritianus,
BestMatch,9.41215,Exact,0,Nicandra physalodes,Nicandra physalodes (L.) Gaertn.,Nicandra physalodes,749S3,Nicandra physalodes (L.) Gaertn.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Solanoideae|Nicandreae|Nicandra|Nicandra physalodes,
BestMatch,9.41215,Exact,0,Nicotiana alata,Nicotiana alata Link & Otto,Nicotiana alata,47CZN,Nicotiana alata Link & Otto,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Nicotianoideae|Nicotianeae|Nicotiana|Nicotiana alata,
BestMatch,9.41215,Exact,0,Nicotiana glauca,Nicotiana glauca Graham,Nicotiana glauca,47D3V,Nicotiana glauca Graham,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Nicotianoideae|Nicotianeae|Nicotiana|Nicotiana glauca,
BestMatch,9.41215,Exact,0,Nicotiana glutinosa,Nicotiana glutinosa L.,Nicotiana glutinosa,47D3W,Nicotiana glutinosa L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Nicotianoideae|Nicotianeae|Nicotiana|Nicotiana glutinosa,
BestMatch,9.41215,Exact,0,Nicotiana langsdorffii,Nicotiana langsdorffii Schrank,Nicotiana langsdorffii,47D4L,Nicotiana langsdorffii Schrank,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Nicotianoideae|Nicotianeae|Nicotiana|Nicotiana langsdorffii,
BestMatch,9.41215,Exact,0,Nicotiana plumbaginifolia,Nicotiana plumbaginifolia Viv.,Nicotiana plumbaginifolia,47D6F,Nicotiana plumbaginifolia Viv.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Nicotianoideae|Nicotianeae|Nicotiana|Nicotiana plumbaginifolia,
BestMatch,9.41215,Exact,0,Nicotiana quadrivalvis,Nicotiana quadrivalvis Pursh,Nicotiana quadrivalvis,47D6N,Nicotiana quadrivalvis Pursh,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Nicotianoideae|Nicotianeae|Nicotiana|Nicotiana quadrivalvis,
BestMatch,9.41215,Exact,0,Nicotiana rustica,Nicotiana rustica L.,Nicotiana rustica,47D6X,Nicotiana rustica L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Nicotianoideae|Nicotianeae|Nicotiana|Nicotiana rustica,
