taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution,query_taxon_id,query_taxon_name
59318,Anacamptis morio,species,green-winged orchid,Plantae,2547,36011,https://en.wikipedia.org/wiki/Anacamptis_morio,https://inaturalist-open-data.s3.amazonaws.com/photos/13062/medium.jpg,cc-by-nc-nd,"(c) Bastiaan, some rights reserved (CC BY-NC-ND)",211194,Tracheophyta
132621,Orchis mascula,species,Early Purple Orchid,Plantae,2034,40035,https://en.wikipedia.org/wiki/Orchis_mascula,https://inaturalist-open-data.s3.amazonaws.com/photos/175201/medium.jpg,cc-by-sa,"(c) xbejard, some rights reserved (CC BY-SA)",211194,Tracheophyta
57630,Dactylorhiza fuchsii,species,Common Spotted Orchid,Plantae,1959,51205,https://en.wikipedia.org/wiki/Dactylorhiza_fuchsii,https://inaturalist-open-data.s3.amazonaws.com/photos/288434840/medium.jpg,cc-by-nc,"(c) Li Jianong, some rights reserved (CC BY-NC), uploaded by Li Jianong",211194,Tracheophyta
51875,Trifolium pratense,species,Red Clover,Plantae,1955,229420,http://en.wikipedia.org/wiki/Trifolium_pratense,https://inaturalist-open-data.s3.amazonaws.com/photos/10029907/medium.jpg,cc-by-sa,"(c) Andreas Rockstein, some rights reserved (CC BY-SA)",211194,Tracheophyta
55721,Silene vulgaris,species,bladder campion,Plantae,1936,70942,http://en.wikipedia.org/wiki/Silene_vulgaris,https://inaturalist-open-data.s3.amazonaws.com/photos/149687809/medium.jpg,cc-by-nc,"(c) mayamauri, some rights reserved (CC BY-NC)",211194,Tracheophyta
950603,Anemonoides nemorosa,species,wood anemone,Plantae,1921,88199,https://en.wikipedia.org/wiki/Anemone_nemorosa,https://inaturalist-open-data.s3.amazonaws.com/photos/732011/medium.jpg,cc-by-nc-sa,"(c) Anne SORBES, some rights reserved (CC BY-NC-SA), uploaded by Anne SORBES",211194,Tracheophyta
82685,Anthyllis vulneraria,species,Common Kidney-Vetch,Plantae,1760,34015,http://en.wikipedia.org/wiki/Anthyllis_vulneraria,https://inaturalist-open-data.s3.amazonaws.com/photos/196343584/medium.jpeg,cc-by-nc,"(c) Thomas Horvath, some rights reserved (CC BY-NC), uploaded by Thomas Horvath",211194,Tracheophyta
132603,Gentiana verna,species,spring gentian,Plantae,1719,14050,http://en.wikipedia.org/wiki/Gentiana_verna,https://inaturalist-open-data.s3.amazonaws.com/photos/52656295/medium.jpg,cc-by-sa,"(c) xulescu_g, some rights reserved (CC BY-SA)",211194,Tracheophyta
55563,Bellis perennis,species,Lawn daisy,Plantae,1654,156793,http://en.wikipedia.org/wiki/Bellis_perennis,https://inaturalist-open-data.s3.amazonaws.com/photos/515847774/medium.jpg,cc-by-sa,"(c) m.dolores paderne sa…, some rights reserved (CC BY-SA)",211194,Tracheophyta
56099,Ajuga reptans,species,carpet bugle,Plantae,1612,102393,https://en.wikipedia.org/wiki/Ajuga_reptans,https://inaturalist-open-data.s3.amazonaws.com/photos/28863996/medium.jpeg,cc-by,"(c) Nasser Halaweh, some rights reserved (CC BY), uploaded by Nasser Halaweh",211194,Tracheophyta
